id,question,option_A,option_B,option_C,option_D,option_E,option_F,answer,type,has_image,image_path,source_page
1,在乙太網路的環境下，在兩個情況下電腦可以傳送資料。(Choose two.),when the medium is idle,when there is a carrier,when they detect no other devices are sending,when they receive a special token,when the server grants access,,"A,C",multiple,no,,2
2,當一個網路的port啟動CMSA/CD功能，請問該網路port為何種狀態。,This is a 10Mb/s switch port.,This is a 100Mb/s switch port.,This is an Ethemet port oprating at half duplex.,This is an Ethemet port oprating at full duplex.,This is a port on a network card in PC.,,C,single,no,,2
3,為何交換器永遠無法學習到廣播的位址?,Broadcast only use network layer addressing.,A broadcast frame is never forwarded by a switch,A broadcast address will nerver be the source address of a frame,Broadcast addresses use an incorrect format for the switching,table.,Broadcast frames are never sent to switches.,C,single,no,,2
4,"網管人員執行ping
192.168.2.5來測試電腦之間網路連線狀況，請問在執行測試連線過程中
，有使用甚麼網路協定。(Choose two.)",CDP,ARP,DHCP,DNS,ICMP,,"A,E",multiple,no,,2
5,"參考下列架構，如果將HUB換成Switch後，針對碰撞區域與廣播區域的數
目，下列哪些敘述是正確。
[pic]",The number of collision domains would remain the same,The number of collision domains would decrease,The number of collision domains would increase,The number of broadcast domains would remain the same,The number of broadcast domains would decrease,The number of broadcast domains would increase,"C,D",multiple,yes,images/page_003.png,3
6,"下圖架構中SW1
與SW2都是預設設定，當電腦1送出廣播封包，針對傳送的狀況，下列哪些
敘述是正確。
[pic]","Hosts 2,3, and 4 will receive the broadcast.","Hosts 1,2,3, and 4 will receive the broadcast.",Hosts 2 and the Fa0/0 interface of R1 will receive the broadcast.,"Hosts 1,2 and the Fa0/0 interface of R1 will receive the broadcast.","Hosts 1,2,3,4 and interface Fa0/0 of R1 will receive the broadcast.","Hosts 2,3,4 and interfaces Fa0/0 and Fa0/1 of R1 will receive the broadcast.",C,single,yes,images/page_003.png,3
7,"針對bridge與switch網路設備，下列那幾項是正確的描述? (Choose
three. )",Switches are primarily software based while bridges are hardware based.,Both bridges and switches forward Layer 2 broadcasts.,Bridges are frequently faster than switches.,Switches have a higher number of ports than most bridges.,Bridges define broadcast domains while switches define collision domains.,Both bridges and switches make forwarding decisions based on Layer 2 addresses.,"B,D,F",multiple,no,,4
8,當網路設備的port偵測到碰撞時，請判斷是甚麼設備的port。,This is a 10Mb/s switch port,This is a 100Mb/s switch port,This is an Ethernet port operating at half duplex,This is an Ethernet port operating at full duplex,This is a port on a network interface card in a PC,,C,single,no,,4
9,使用Switch比使用Hub的優點有哪些。(Choose two.),decreasing the number of collision domains,filtering frames based on MAC addresses,allowing simultaneous frame transmissions,increasing the size of broadcast domains,increasing the maximum length of UTP cabling between devices,,"B,C",multiple,no,,4
10,使用實體位址的兩個目的是甚麼。(Choose two.),to uniquely identify devices at Layer 2,to allow communication with devices on a different network,to differentiate a Layer 2 frame from Layer 3 packet,to establish a priority system to determine which devices gets to transmit first,to allow communication between different devices on the same network,to allow detection of a remote devices when its physical address is unknown,"A,E",multiple,no,,4
11,下列那一個網路連線是要用直線網路線。,switch to switch,switch to hub,switch to router,hub to hub,router to PC,,C,single,no,,5
