id,question,answer,type,option_A,option_B,option_C,option_D,option_E,option_F
1,1.下列哪種路由具備容錯能力,B,single,靜態路由,動態路由,預設路由,成本最低的路由,,
2,2.網狀網路拓樸具有哪兩個特性?(請選擇 2 個答案。),"A,B",multiple,最適合包含大量節點的網路。,"由於有備援連線,因此具備容錯能力。",它的佈線需求低於星形或環狀拓撲。,每個節點都連線到網路上的其他每個節點。,,
3,3.有線乙太網路拓樸具有哪兩個特性?(請選擇 2 個答案),"B,D",multiple,使用權杖來避免網路發生衝突。,通常採用雙絞線或光纖媒體。,使用實體 IP 位址編碼的網路介面卡。,可以交涉不同的傳輸速度。,,
4,4.哪個實體網路拓樸藉由提供備援通訊路徑來提供容錯通訊?,A,single,網狀,星形,環狀,匯流排,,
5,5.如何更新路由器的靜態路由表?,A,single,透過網路系統管理員的直接動作,在重設路由之後透過 RIP 通訊協定,藉由監視相鄰子網路,使用實體位最相近路由器的更新,,
6,"6.哪種網路裝會讓工作群組中的電腦相互連線、夠端進行設定,",D,single,路由器,未受管理的交換器,集線器,受管理的交換器,,
7,7.您是小型企業的網路系統管理員某員工無法存取任何網站,"B,C,F",multiple,檢查路由器能否正常運作。,判斷該員工的電腦是否具備有效的 IP 位址。,檢查該員工電腦上的 DNS 設定。,確保路由器可連線到網際網路。,連絡網際網路服務提供者。,"檢查該員工的網路介面卡,以確認網路介面卡能夠運作。"
8,"8.您是小型企業的網路系統管理員 某天早晨開始工作時,您現","B,D",multiple,檢查個別電腦上是否有故障的網路介面卡。,連絡網際網路服務提供者。,檢查每部電腦是否具備有效的 IP 位址。,檢查路由器是否有良好的實體連線能力。,,
9,"9.您的學校網路具有多個路由器。其中一間宿舍的學生回報,","B,D",multiple,查看路由器的 NAT 表。,查看路由器的路由表。,啟用多點傳送。,啟用動態路由。,,
10,10.電腦是使用銅線經由網路跳線面板連接至交換器。電腦,"B,D",multiple,執行從單位 A 到單位 B 線路的音頻查線。,測試纜線的資料速度。,使用纜線測試器搜尋纜線中斷掉的電線,使用光時域反射計(OTDR)測試線路。,,
11,"11.您任職於某公司,公司總裁回報他的有線網路印表機無法",A,single,音頻查線器,萬用電表,纜線測試器,時域反射計(TDR),,
12,12.需要哪種硬體才能將區域網路正確連線到廣域網路(WAN)?,D,single,收發器,第 2 層交換器,獨立存取點,路由器,,
13,"13.建築物 A 與建築物 B 之間的網路線是 550 公尺,而且線路",D,single,時域反射計,萬用電表,光時域反射計,音頻查線器,,
14,14.哪種媒體類型最不易受外部干擾(包括電磁干擾(EMI)和射,B,single,STP,光纖,無線網路,UTP,,
15,15.在一個網路中併入多個 VLAN 的其中一個原因是:,D,single,可減少廣播網域的數目。,可增加可用的媒體存取控制(MAC)位址數目。,可增加可用的 IP 位址數目。,可減少廣播網域中的節點數目。,,
16,16.您必須在兩個相距約 10 公里/6 英里的地之閒安装網路,B,single,多重模式光纖,單一模式光纖,Cat5e,Cat6,,
17,17.________無線加密最容易遭到攔截和解密。,A,single,WEP,WPA2,WPA-AES,WPA-PSK,,
18,18.使用無線網路時必須考量安全性的原因是:,A,single,無法加密傳輸。,潛在的串音(Crosstalk)問題。,無線電廣播存取方法。,頻率調變的問題。,,
19,19.您必須在您公司的製造工廠設四段乙太網路分接。每段分,D,single,UTP Cat6,UTP Cat5e,Cat3,STP Cat5e,,
20,20.Teredo 通道的通訊協定可以:,B,single,可提供 VPN 安全性。,可讓 IPv6 流量通過 IPv4 網路。,可將網際網路通訊協定第 4 版(IPv4)轉譯為網網路通訊協定第 6 版,可動態配置 IPv6 位址。,,
21,21.哪一項表示網際網路通訊協定第 6 版(IPv6)路位址?,B,single,FE80::127,::1,FF00::127,::,,
22,22.您的家用電腦在存取網際網路時發生問題。您懷疑網網路,C,single,172.16.1.15,192.168.1.15,169.254.1.15,10.19.1.15,,
23,23.ftp.sunsetweb.org 的頂層網域是哪個?,D,single,sunsetweb,sunsetweb.org,ftp,org,,
24,24.哪種通訊協是於 TCP 模型的傳輸層運作?,B,single,IGMP,UDP,FTP,IP,,
25,25.您公司的電腦透過一組位在單一地理位的路由私人 Wi-Fi,D,single,網際網路,外部網路,周邊網路,內部網路,,
26,"26.您使用完整網域名稱(FQDN)Ping,但没有收到。您接著使用",B,single,NSLOOKUP 已停止,DNS 無法解析,DHCP 伺服器已離線,PING 設定不正確,,
27,"27.您正在設定網路電腦遊戲。您需要開啟防火牆的連接埠,讓",A,single,netstat,ping,nslookup,nbtstat,,
28,28.Linux 中用來列出主機使用中連入連線的命令列工具是,C,single,ip addr,host,netstat,dig,,
29,"29.在 windows 電腦,您應該使用哪個公用程式判斷網域名稱",C,single,nslookup,nbtstat,netstat,ipconfig,,
30,30.周邊網路的主要用途是什麼?,B,single,做為用來部署網路用戶端的隱藏位置,在私人內部網路與公用網際網路之間提供緩衝區,做為用來部署高度敏感性網路伺服器的安全位置,在私人區域網路中監控路由子網路之間的流量,,
31,31.VLAN 具有哪兩個特性?(請選擇 2 個答案。),"A,C",multiple,VLAN 會劃分網路並分離流量。,單一交換器只能服務單一 VLAN.,"不論 VLAN 的實體位在哪裡,它們都會表現得像在相同的區域網路上",VLAN 可以使用 IP 進行封包的邏輯定。,,
32,32.____________無線加密最容易遭到攔截和解密。,A,single,WEP,WPA2,WPA-AES,WPA-PSK,,
33,33.CompanyPro 計將數部伺服器移轉到雲端架構的虛擬機,"A,C",multiple,更換故障的伺服器硬體,更新伺服器作業系統,管理實體伺服器安全性,備份應用程式資料,管理共用文件的權限,
34,34.使用 STP 而不用 UTP 線網擴充線路的理是什麼?,D,single,您想要盡量降低與新安裝相關的成本。,您需要盡可能輕便柔韌的線。,您需要縮訊衰減。,您正在佈線穿越外部干擾很高的區域。,,
35,"35.您任職於某公司,財務部門抱怨說存取公司網路時資料速度",B,single,音頻查線器,纜線測試器,萬用電表,時域反射計(TDR),,
36,36.您是網際網路服務提供者(ISP)的網路支援技術人員。,"C,D,F",multiple,要求客戶將作業系統更新至最新版本。,要求客戶刪除 Hosts 檔案。,要求客戶檢查數據機上的狀態指示燈是否適當。,要求客戶重新啟動數據機。,從遠端登入客戶的電腦。,"執行線路試,檢查 ISP 與客戶之間的線能力。"
37,37.哪種類型的網路涵蓋最大的區域?,A,single,WAN,CAN,PAN,LAN,,
38,38.哪一種無線驗證方法提供最高等級的安全性?,D,single,WPS 驗證,有線等效加密(WEP),Wi-Fi 保護的存取(WPA),Wi-Fi 保護的存取 2(WPA2),,
39,39.Ping 公用程式用於哪兩個目的?請選擇 2 個答案。,"A,D",multiple,自行測試主機本身的網路介面,搜尋重複的位址,將主機名解析為 IP 位址,判斷是否可連線至主機,掃描開放的主機防火牆連接埠,
40,40.交換器具有哪兩個特性?(請選擇 2 個答案。),"A,B",multiple,交換器可識別所接收資料的預訂目的地。,交換器可以同時傳送和接收資料。,交換器成的資料衝突比集線器更多。,交換器會將每個框架傳送至所有與連接的電腦。,,
41,"41.您可以使用哪一種技術將內部網路延伸,跨到共用或公用網",B,single,Microsoft ASP.NET,VPN,VLAN,Microsoft .NET Framework,,
42,42.實作 VPN 可以提供:,A,single,透過公用網路的安全連線。,使用 IPSec 的額外加密。,私人網路內的安全連線。,選取電腦的額外安全性。,,
43,43.動態路由的其中一個優點是:,D,single,會自動啟用 DHCP。,會限制衍生自路由通訊協定的流量。,會減少廣播流量。,會自動維護路由表。,,
