id,question,option_A,option_B,option_C,option_D,answer
1,1.下列哪種路由具備容錯能力,靜態路由,動態路由,預設路由,成本最低的路由,B
2,2.網狀網路拓樸具有哪兩個特性?(請選擇 2 個答案。),最適合包含大量節點的網路。,"由於有備援連線,因此具備容錯能力。",它的佈線需求低於星形或環狀拓撲。,每個節點都連線到網路上的其他每個節點。,"A,B"
3,3.有線乙太網路拓樸具有哪兩個特性?(請選擇 2 個答案),使用權杖來避免網路發生衝突。,通常採用雙絞線或光纖媒體。,使用實體 IP 位址編碼的網路介面卡。,可以交涉不同的傳輸速度。,"B,D"
4,4.哪個實體網路拓樸藉由提供備援通訊路徑來提供容錯通訊?,網狀,星形,環狀,匯流排,A
5,5.如何更新路由器的靜態路由表?,透過網路系統管理員的直接動作,在重設路由之後透過 RIP 通訊協定,藉由監視相鄰子網路,使用實體位最相近路由器的更新,A
6,"6.哪種網路裝會讓工作群組中的電腦相互連線、夠端進行設定, 並且提供最佳的输送量?",路由器,未受管理的交換器,集線器,受管理的交換器,D
8,"8.您是小型企業的網路系統管理員 某天早晨開始工作時,您現 公司所有員工都法存取外網站但所有員工都可以存取内部網路網站所 有電腦都位於同一個内部網路,由一部路由器連接起來。 您必須疑難排 解此問。您應該完成哪兩個動作?(請選擇 2 個答案)",檢查個別電腦上是否有故障的網路介面卡。,連絡網際網路服務提供者。,檢查每部電腦是否具備有效的 IP 位址。,檢查路由器是否有良好的實體連線能力。,"B,D"
9,"9.您的學校網路具有多個路由器。其中一間宿舍的學生回報, 他們無法連線到電子郵件伺服器。您確認電子郵件伺服器運作正常。 您懷疑是子網路上的路由器造成問。此時應該執行哪兩個動作?(請選擇 2 個答案)",查看路由器的 NAT 表。,查看路由器的路由表。,啟用多點傳送。,啟用動態路由。,"B,D"
10,10.電腦是使用銅線經由網路跳線面板連接至交換器。電腦 取得的資料速度低於預期。您應該執行哪兩個動作來找出問題?(請選擇 2 個答案。)請注意:每個正確選項都將得到部分分數。,執行從單位 A 到單位 B 線路的音頻查線。,測試纜線的資料速度。,使用纜線測試器搜尋纜線中斷掉的電線,使用光時域反射計(OTDR)測試線路。,"B,D"
11,"11.您任職於某公司,公司總裁回報他的有線網路印表機無法 作。為了測試線路,您必須知道插孔插在跳線面板的什麼位置。但是沒 有任何標籤, 在主配線架構(MDF)中,您發現一束 35 條缆線。您應該使 用哪種工具來分離出正確的纜線?",音頻查線器,萬用電表,纜線測試器,時域反射計(TDR),A
12,12.需要哪種硬體才能將區域網路正確連線到廣域網路(WAN)?,收發器,第 2 層交換器,獨立存取點,路由器,D
13,"13.建築物 A 與建築物 B 之間的網路線是 550 公尺,而且線路 生插入損失。 您應該使用哪種工具來測試衰減?",時域反射計,萬用電表,光時域反射計,音頻查線器,D
14,14.哪種媒體類型最不易受外部干擾(包括電磁干擾(EMI)和射 頻干擾(RFI)影響?,STP,光纖,無線網路,UTP,B
15,15.在一個網路中併入多個 VLAN 的其中一個原因是:,可減少廣播網域的數目。,可增加可用的媒體存取控制(MAC)位址數目。,可增加可用的 IP 位址數目。,可減少廣播網域中的節點數目。,D
16,16.您必須在兩個相距約 10 公里/6 英里的地之閒安装網路 線。您應該使用哪個項目?,多重模式光纖,單一模式光纖,Cat5e,Cat6,B
17,17.________無線加密最容易遭到攔截和解密。,WEP,WPA2,WPA-AES,WPA-PSK,A
18,18.使用無線網路時必須考量安全性的原因是:,無法加密傳輸。,潛在的串音(Crosstalk)問題。,無線電廣播存取方法。,頻率調變的問題。,A
19,19.您必須在您公司的製造工廠設四段乙太網路分接。每段分 接约為 38 公尺(125 英尺)。每段分接都會經過重型造設備的附近區 域。您需要確保降低干擾程度。您應該使用哪一種纜線類型?,UTP Cat6,UTP Cat5e,Cat3,STP Cat5e,D
20,20.Teredo 通道的通訊協定可以:,可提供 VPN 安全性。,可讓 IPv6 流量通過 IPv4 網路。,"可將網際網路通訊協定第 4 版(IPv4)轉譯為網網路通訊協定第 6 版
(IPv6)。",可動態配置 IPv6 位址。,B
21,21.哪一項表示網際網路通訊協定第 6 版(IPv6)路位址?,FE80::127,::1,FF00::127,::,B
22,"22.您的家用電腦在存取網際網路時發生問題。您懷疑網網路 路由器的 DHCP 服務未正常作,因此您檢查了电腦的 IP 位址。哪一個位 址會指出路由器的 DHCP 服務無法正常運作?",172.16.1.15,192.168.1.15,169.254.1.15,10.19.1.15,C
23,23.ftp.sunsetweb.org 的頂層網域是哪個?,sunsetweb,sunsetweb.org,ftp,org,D
24,24.哪種通訊協是於 TCP 模型的傳輸層運作?,IGMP,UDP,FTP,IP,B
