id,type,question,option_A,option_B,option_C,option_D,option_E,option_F,answer
1,single,下列哪一個是 HSRP 的虛擬 MAC 位址。,0000.1010.ac0c,0000.0c07.ac0c,00ac.b280.ac0c,2b00.bc10.010c,,,B
2,single,下列哪一個選項是描述 VRRP 的物件追蹤。,It monitors traffic flow and link utilization.,It ensures the best VRRP router is the virtual router master for the group.,It causes traffic to dynamically move to higher bandwidth links.,It thwarts man-in-the-middle attacks.,,,B
3,single,針對 GLBP，哪一個路由器會回應用戶端的 ARP 請求。,The active virtual gateway will reply with one of four possible virtual MAC addresses.,All GLBP member routers will reply in round-robin fashion.,The causes traffic to dynamically move to higher bandwidth links.,It thwarts main-in-the-middle attacks.,,,A
4,multiple,使用 GLBP 有哪三項優點。,GLBP supports up to eight virtual forwarders per GLBP group.,GLBP supports clear text and MD5 password authentication between GLBP group members.,GLBP is an open source standardized protocol that can be used with multiple vendors.,GLBP supports up to 1024 virtual routers.,GLBP can load share traffic across a maximum of four routers.,GLBP elects two AVGs and two standby AVGs for redundancy.,"B,D,E"
5,multiple,下列哪三個選項是有關於 HSRP 的運作是正確的。,The virtual IP address and virtual MAC address are active on the HSRP Master router.,The HSRP default timers are a3 second hello interval and a 10 second dead interval.,HSRP supports only clear-text authentication.,The HSRP virtual IP address must be on a different subnet than the routers interfaces on the same LAN.,The HSRP virtual IP address must be same as one of the routers interface addresses on the LAN.,"HSRP supports up to 255 groups per interface, enabling an administrative from of load balancing.","A,B,F"
6,single,在 GLBP 網路中哪一個角色是負責 ARP 的請求。,AVF,Standby,AVF,Master,,,C
7,single,根據下列網路架構及輸出訊息，R1 無法與 R2 進行認證連線，請問是發生 什麼原因?,The usernames are incorrectly configured on the two routers.,The passwords do not match on the two routers,CHAP authentication cannot be used on a serial interface,The routers cannot be connected from interface S0/0 to interface S0/0,"With CHAP authentication, one router must authenticate to another router. The routers cannot be configured to authenticate to each other",,B
8,multiple,當一個訊框資料要離開 L3 的設備時，針對 L2 的封裝資訊，下列哪些會 更改?(Choose two.),The data is moving from 20BASE-TX to 100BASE-TX,The WAN encapsulation type has changed.,The data format has changed from analog to digital,The source and destination hosts are in the same subnet,The source and destination MAC addresses have changed,,"B,E"
9,multiple,WAN 在 OSI 模型運作，主要是在第幾層?,application layer,session layer,transport layer,network layer,datalink layer,physical layer,"E,F"
10,single,當要設定路由器的序列埠的介面時，下列哪一個是預設的 L2 封裝協定?,"atm-gl,dxi",frame-relay,hdlc,lapb,ppp,,C
11,multiple,下列那些選項是正確的 WAN 連線方式?,PPP,WAP,HDLC,MPLS,L2TPv3,ATM,"A,C,F"
