id,chapter,question_number,question,answer,option_A,option_B,option_C,option_D,option_E,option_F
1,Ch07,1,[Ch07] 根據上圖資訊，為何兩台路由器的OSPF無法形成鄰居關係。,D,The OSPF area is not configured properly.,The priority on R1 should be set higher.,The cost on R1 should be set higher.,The hello and dead timers are not configured properly.,A backup designated router needs to be added to the network.,The OSPF process ID numbers must match.
2,Ch07,2,[Ch07] 一位網路管理者要加入一筆OSPF的路由，輸入下列的指令，但此路由並沒有出現在其它OSPF路由器的路由表中，根據下列指令，請問是什麼問題。,C,Process id is configured improperly.,The OSPF area is configured improperly.,The network wildcard mask is configured improperly.,The network number is configured improperly.,The AS is configured improperly.,The network subnet mask is configured improperly.
3,Ch07,3,[Ch07] 下列那一個指令可以顯示OSPF收集到的Link States的資訊。,D,Show ip ospf link-state,Show ip ospf Isa gatabase,Show ip ospf neighbors,Show ip OSPF database,,
4,Ch07,4,[Ch07] 再OSPF建立鄰居的過程會經歷幾個狀態，請問下列那一個狀態的順序是正確。,B,Exstart state > loading state > exchang state > full state,Exstart state > exchange state > loading state > full state,Exstart state > full state > loading state > exchange state,Loading state > exchange state > full state >exstart state,,
5,Ch07,5,[Ch07] 下列那幾項是描述OSPF路由協定的特性。,"A,C,E",It supports VLSM.,It is used to route between autonomous systems.,It confines network instability to one area of the network.,It increases routing overhead on the network.,It allows extensive control of routing updates.,It is simpler to configure than RIP v2.
6,Ch07,6,[Ch07] 請問預設的OSPF成本一樣的路由平衡是幾條路徑。,B,2,4,16,unlimited,,
7,Ch07,7,[Ch07] 根據上圖資訊，當OSPF路由器沒有手動指定ROUTER-ID時，請問會下列哪一個會成為ROUTER-ID。,C,10.1.1.2,10.154.154.1,172.16.5.1,192.168.53,,
8,Ch07,8,[Ch07] 參考下列網路架構中，假設路由協定都是正常啟動，當封包要從10.1.0.0到10.3.2.0，下列那些路徑是正確。(choose two),"A,E","If OSPF is the routing protocol, the path will be from R1 to R3 to R4 to R5","If OSPF is the routing protocol, the path will be from R1 to R2 to R5","If OSPF is the routing protocol, the path will be from R1 to R5","If RIPv2 is the routing protocol, the path will be from R1 to R3 to R4 to R5","If RIPv2 is the routing protocol, the path will be from R1 to R5",
9,Ch07,9,[Ch07] 參考下列網路架構中，下列那些敘述是正確的有關於R1選擇路徑到10.1.3.0/24根據不同的路由協定。(choose three),"A,D,E","By default, if RIPv2 is the routing protocol, only the path R1-R4 will be installed into the routing table",The equal cost paths R1-R2-R4 and R1-R3-R4 will be installed in the routing table if RIPv2 is the routing protocol,"When EIGRP is the routing protocol, only the path R1-R4 will be installed in the routing table by default","When EIGRP is the routing protocol, the equal cost paths R1-R2-R4 and R1-R3-R4 will be installed in the routing table by default","With EIGRP and OSPF both running on the network with their default configurations, the EIGRP paths will be installed in the routing table","The OSPF paths will be installed in the routing table, if EIGRP and OSPF are both running on the network with their default configurations"
10,Ch07,10,[Ch07] OSPF是使用區域概念來運作，OSPF的區域有什麼特點。,"B,C,E",Each OSPF area requires a loopback interface to be configured,Areas may be assigned any number from 0 to 65535,Area 0 is called the backbone area,Hierarchical OSPF networks do not require multiple areas,Multiple OSPF areas must connect to area 0,Single area OSPF networks must be configured in area 1.
11,Ch07,11,[Ch07] 下列那些敘述是描述OSPF路由協定。(choose three.),"A,C,E",It supports VLSM,It is used to route between autonomous systems,It confines network instability to one area of the network,It increases routing overhead on the network,It allows extensive control of routing updates,It is simpler to configure than RIP v2
12,Ch07,12,[Ch07] 下列那三項是OSPF的特點。(choose three.),"A,C,F",It converges quickly,OSPF is a classful routing protocol,It uses cost to determine the best route,It uses the DUAL algorithm to determine the best route,OSPF routers send the complete routing table to all directly attached routers,OSPF routers discover neighbors before exchanging routing information
13,Ch07,13,[Ch07] 下列那些是link-state路由協定的特點。,"A,C,D",provides common view of entire topology,exchanges routing tables with neighbors,calculates shortest path,utilizes event-triggered updates,utilizes frequent periodic updates,
14,Ch07,14,[Ch07] 下列哪一項敘述是描述OSPF的行程編號(Process ID)。(choose two.),"A,C",It is locally significant,It is globally significant,It is needed to identify a unique instance of an OSPF database,It is an optional parameter required only if multiple OSPF processes are running on the router,All routers in the same OSPF area must have the same process ID if they are to exchange routing information,
15,Ch07,15,[Ch07] 網路管理員在路由器R1中輸入R1(config-router)#network 192.168.12.64 0.0.0.63 area 0 之後，網管人員發現不是所有R1的網路介面都有參與OSPF運作，根據下列R1輸出資訊，下列哪些網路介面有參與OSPF運作。 (choose three),"B,C,D",FastEthernet0/0,FastEthernet0/1,Serial0/0,Serial0/1.102,Serial0/1.103,Serial0/1.104
16,Ch07,16,[Ch07] 一台路由器學習到三條路由可以到達相同目的網路，第一條是由EIGRP學習到且其成本為20514560，第二條為OSPF學習到且其成本782，最後一條為RIP學到且其成本為4，請問哪一條路由會被記錄到路由表。,B,A. the OSPF route,B. the EIGRP route,C. the RIPv2 route,D. all three routes,E. the OSPF and RIPv2 routes,
17,Ch07,17,[Ch07] 參考下列網路架構及部分設定輸出，假設所有路由器的網路介面及設定都是正常運作，R1的設定如下，R2會受R1的設定下列哪一種影響?,A,Router R2 will not form a neighbor relationship with R1,"Router R2 will obtain a full routing table, including a default route, from R1","R2 will obtain OSPF updates from R1, but will not obtain a default route from R1","R2 will not have a route for the directly connected serial network, but all other directly connected networks will be present, as well as the two Ethernet networks connected to R1",,
18,Ch07,18,[Ch07] 參考下列網路架構，R1無法與R3建立OSPF鄰居關係，會是什麼問題。(choose two.),"D,F",A. All of the routers need to be configured for backbone Area 1,"B. R1 and R2 are the DR and BDR, so OSPF will not establish neighbor adjacency with R3",C. A static route has been configured from R1 to R3 and prevents the neighbor adjacency from being established,D. The hello and dead interval timers are not set to the same values on R1 and R3,E. EIGRP is also configured on these routers with a lower administrative distance,F. R1 and R3 are configured in different areas
19,Ch07,19,[Ch07] 根據下圖架構，所有路由器都啟動OSPF，所有路由器的OSPF的Priority都是預設值，ROUTER ID如下表示，請問那幾台路由器會是OSPF DR。(Choose two),"D,F",A. R1,B. R2,C. R3,D. R4,E. B1,F. B2
20,Ch07,20,[Ch07] 參考下列網路架構中，有關於虛擬介面(loopback)設定在R2，下列敘述何者正確。(choose two),"B,C",It ensures that data will be forwarded by R2,It provides stability for the OSPF process on R2,It specifies that the router ID for R2 should be 10.0.0.1,It decreases the metric for routes that are advertised from R2,It indicates that R2 should be elected the DR for the LAN,
21,Ch07,21,[Ch07] 下列為R1的show ip int brief的輸出，如果R1的ROUTER ID沒有手動指定，下列哪一個會是R1中OSPF的ROUTER ID。,B,10.1.1.2,10.154.154.1,172.16.5.1,192.168.5.3,,
22,Ch07,22,[Ch07] Link-state的路由協定是使用什麼資訊來建立網路拓墣資料庫(topological database)。(Choose two),"A,C",A. hello packets,B. SAP messages sent by other routers,C. LSAs from other routers,D. beacons received on point-to-point links,E. routing tables received from other link-state routers,F. TTL packets from designated routers
23,Ch07,23,[Ch07] 在點對點的網路(point to point)環境下，OSPF hello封包的更新IP位址為何?,E,127.0.0.1,172.16.0.1,192.168.0.5,223.0.0.1,224.0.0.5,254.255.255.255
24,Ch07,24,[Ch07] 參考下列網路架構規劃，路由器A與路由器B無法建立鄰居關係，請問是什麼原因。,B,The loopback addresses are on different subnets,The values of the dead timers on the routers are different,Route summarization is enabled on both routers,The process identifier on router A is different than the process identifier on router B,,
25,Ch08,1,[Ch08] 下列哪三個是IPv6的特性。,"B,C,E",Optional IPsec,Autoconfiguration,No broadcasts,Complicated header,Plug-and-play,checksums
26,Ch08,2,[Ch08] 下列哪三個是描述IPv6 anycast特性。,"B,E,F",one-to-many communication model,one-to-nearest communication model,any-to-many communication model.,A unique IPv6 address for each device in the group,The same address for multiple devices in the group,Delivery of packets to the group interface that is closest to the sending device.
27,Ch08,3,[Ch08] 下列哪兩項是OSPFv3 與OSPFv2不一樣的地方。,"B,D",It requires the use of ARP,It can support multiple IPv6 subnets on a single link.,It supports up 2 instances of OSPFv3 over a common link.,It routes over links rather than over networks.,,
28,Ch08,4,[Ch08] 一個IPv6中，一組有幾個位元。,D,24,4,8,16,,
29,Ch08,5,[Ch08] 下列指令可以手動設定IPv6位址到路由器的網路介面中。,B,Ipv6 autoconfig 2001:db8:2222:7272::72/64,Ipv6 address 2001:db8:2222:7272::72/64,Ipv6 address PREFIX_1 ::1/64,Ipv6 autoconfig,,
30,Ch08,6,[Ch08] 請問下列那一個簡化後的IPv6代表B514:82C3:0000:0000:0029:EC7A:0000:EC72,D,B514:82C3:0029:EC7A:EC72,B514:82C3:0029:EC7A:EC72,B514:82C3:0029::EC7A:0000:EC72,B514:82C3::0029:EC7A:0:EC72,,
31,Ch08,7,[Ch08] 下列哪一個是正確的IPv6位址。,D,2001:0db8:0000:130F:0000:0000:08GC:140B,2001:0db8:0:130H::87C:140B,2031::130F::9C0:876A:130B,2031:0:130F::9C0:876A:130B,,
32,Ch08,8,[Ch08] EUI-64方式如何將48-bit MAC位址產生IPv6 位址?,D,by appending 0xFF to the MAC address,by prefixing the MAC address with 0xFFEE,by prefixing the MAC address with 0xFF and appending 0xFF to it,by inserting 0xFFFE between the upper three bytes and the lower three bytes of the MAC address,by prefixing the MAC address with 0xF and inserting 0xF after each of its first three bytes,
33,Ch08,9,[Ch08] 路由器同時執行IPv4 與IPv6兩種網路時，需要設定什麼功能?,D,4to6 routing,6to4 routing,Binary routing,Dual-stack routing,NextGen routing,
34,Ch08,10,[Ch08] 那一種IPv6的位址被稱為“ one-to-nearest”?,B,global unicast,anycast,multicast,unspecified address,,
35,Ch08,11,[Ch08] 下列那一個是正確的IPv6位址?,D,2001:0000:130F::099a::12a,2002:7654:A1AD:61:81AF:CCC1,FEC0:ABCD:WXYZ:0067::2A4,2004:1:25A4:886F::1,,
36,Ch08,12,[Ch08] 針對RIPng路遊協定，下列那些敘述是正確?,B,RIPng allows for routes with up to 30 hops,RIPng is enabled on each interface separately,RIPng uses broadcasts to exchange routes,There can be only one RIPng process per router,,
37,Ch09,1,[Ch09] 下列那一項技術是將IPv6封裝為IPv4封包?,A,tunneling,hashing,routing,NAT,,
38,Ch09,2,[Ch09] 下列哪一個IPv6位址為所有路由器的群播。,B,FF02::1,FF02::2,FF02::3,FF02::4,,
39,Ch09,3,[Ch09] 下列哪三種機制可以將IPv4轉換成為IPv6網路。,"A,C,D",Enable dual-stack routing,Config IPv6 directly,Config IPv4 tunnels between IPv6 islands,Use proxying and translation to translate IPv6 packets into IPv4 packets,Statically map IPc4 addresses to IPv6 addresses,Use DHCPv6 to map Ipv4 addresses to addresses
40,Ch09,4,[Ch09] 下列哪一個指令是啟動IPv6的路由功能。,C,Ipv6 local,Ipv6 host,Ipv6 unicat-routing,Ipv6 neighbor,,
41,Ch09,5,[Ch09] 下列哪些是IPv6過渡的機制?(choose three.),"A,D,F",6to4 tunneling,VPN tunneling,GRE tunneling,ISATAP tunneling,PPP tunneling,Teredo tunneling
42,Ch09,6,[Ch09] 下列哪兩個陳述是有關於單播IPv6位址的特性。,"A,D",Global addresses start with 2000::/3,Link-local addresses start with FE00:/12,Link-local addresses start with FF00::/10,There is only one loopback address and it is ::1,"If a global address is assigned to an interface, then that is the only allowable address for the interface.",
43,Ch10,1,[Ch10] 當一台交換器已經設定新的Trunk連線，那些Vlan的資料可以經過新的Trunk?,A,"By default, all defined VLANs are allowed on the trunk","Each single VLAN, or VLAN range, must be specified with the switchport mode command","Each single VLAN, or VLAN range, must be specified with the vtp domain command","Each single VLAN, or VLAN range, must be specified with the vlan database command",,
44,Ch10,2,[Ch10] 有兩台交換器S1與S2使用fa0/13對接，並設定為Trunk連線，在S1設定Native Vlan為Vlan10，而S2使用預設的Native Vlan，針對這樣的Native Vlan的設定，會有什麼問題產生。,C,802.1Q giants frames could saturate the link,VLAN 10 on CAT1 and VLAN 1 on CAT2 will send untagged frames,A native VLAN mismatch error message will appear,VLAN 10 on CAT1 and VLAN 1 on CAT2 will send tagged frames,,
45,Ch10,3,[Ch10] 假設目前交換器是預設組態，請問下列哪一個範圍可以增加、修改及刪除Vlan ID。,B,1 through 1001,2 through 1001,1 through 1002,2 through 1005,,
46,Ch10,4,[Ch10] 請問下列指令執行結果代表什麼意義。,B,It creates a VLAN 999 interface.,It designates VLAN 999 for untagged traffic.,It blocks VLAN 999 traffic from passing on the trunk.,It designates VLAN 999 as the default for all unkown tagged traffic.,,
47,Ch10,5,[Ch10] 目前一台路由器有兩個乙太網路介面，需要連接四個Vlan，要如何用最好的路由器的網路介面來完成這項工作。,D,Use a hub to connect the four VLANS with a Fast Ethemet interface on the router.,Add a second router to handle the VLAN traffic.,Add two more Fast Ethermet interfaces.,Implement a router-on-a-stick configuration.,,
48,Ch10,6,[Ch10] 根據上圖架構及資訊，當S1中的Vlan1送出去的資料，在S2卻是Vlan2收到，這是什麼原因造成。,C,Trunk mode mismatches,Allowing only VLAN 2 on the destination,Native VLAN mismatches,VLANs that do not correspond to a unique IP subnet,,
49,Ch10,7,[Ch10] 當交換器還未建立Vlan3時，卻執行下列指令，請問會發生什麼事情。,C,The command is rejected,The port turns amber.,The command is accepted and the respective VLAN is added to vlan dat.,The command is accepted and you must configure the VLAN manually.,,
